Astrocyte,B cells,Endothelial cells,Fibroblasts,Macrophage,Microglia,Monocyte DC,Mural cells,Neuron,Neutrophil,NK,Oligodendrocytes,OPC,T cells,Naive T cells
Sorl1,Trp53,Smap1,Mrpl15,Sap30,Pold4,Rnf19b,Smim11,Rack1,Jak1,Sec61a1,Arhgef12,Eif1ax,Gramd1a,
Rpap3,Git2,Ro60,Rpl15,Fbl,Psmd8,Man2a1,mt-Nd1,Ssbp1,Cds2,Timm23,Urm1,Galnt2,Atp5f1,
Pcnx4,Atp5g1,2-Mar,Oxct1,Smim3,Pi4k2a,Man2b1,Lnpep,Immp1l,Hist1h1c,Klhdc2,Dstyk,Psma7,Snf8,
Peg3,Ppil4,Rapgef5,Rpl7a,Cux1,Sf1,Rtraf,Leprot,Pum1,Wbp1l,Hadha,Pdxdc1,Micos10,Trp53inp1,
Zfp462,N4bp2l2,Oaz2,Ddb1,Ndufa2,Surf4,Picalm,Usp16,Zc3h13,Ifrd1,Wipf1,Dhcr24,Prkca,Ssr4,
Mpv17l,Mrps21,Ddc,Vps26a,Gnaq,Mgat4b,Tob2,Hmgn1,Jkamp,Ptpn1,Mrps21,2210016L21Rik,Spast,Sod1,
Tppp3,Pfdn6,Sdcbp,Prdm2,Ndufs8,Eif1a,Hmg20b,Ldb1,Med28,Klf7,Upf1,Ndufab1,Srsf6,Irf1,
Akip1,Far1,Xaf1,Cdk4,Epn1,Tgm2,Pdcd6,Nrbp1,Epc1,Lyn,Ddx50,Srebf2,Smap1,Mrps23,
Cuedc1,Ankrd44,Sertad2,Emc6,Sh3bp5,Nptn,Ist1,Pspc1,Sub1,Nckap1l,Snx5,Rundc3a,Tmpo,Smarcd2,
Mthfd2l,Gtf2b,Zhx1,9530068E07Rik,Pex13,Asap1,Rassf3,Ssna1,Serbp1,Ldha,Clint1,Pigt,Tmem160,Mier1,
Rgma,Ubap2l,Irf1,Ythdf3,Kcmf1,Slc39a7,Pet100,Atf4,Ss18l2,Rab11a,Tspyl1,Nkiras1,Aamp,Itgb1bp1,
Sp3os,Smim11,Zc3h7a,Jmy,Tex261,Atp13a3,Epb41,Ino80d,Tcp1,Tbc1d14,Hdac1,Echs1,Brd7,Lgals9,
Casd1,Ncl,Ssbp4,Anxa5,Use1,Ascc3,Isy1,Ddx18,Cox4i1,Tmsb4x,Cisd2,Galnt2,Ubr5,Kif21b,
Arl4a,Polr2j,Ube2s,Rpl37a,Snrpb,Ripk1,Zeb2,Tiparp,Ddx50,Rab6a,Xrn1,E330009J07Rik,Tmed4,Bloc1s1,
Ctnna1,Ramac,Aopep,Cdk2ap1,Fmnl1,Nup153,Mrpl36,Cwc25,Nme1,Actb,Sipa1,Cox7a2,Ndufa12,AY036118,
Nfia,Lman2,Uqcc2,Rps3a1,Pdlim5,Acbd3,Lsm12,Chd6,Zfp644,Kdm5b,Sirt7,Rex1bd,Tmem106b,B3gnt2,
Nubpl,Txn2,Nr1d2,Itga6,Lgals9,Kdelr2,Lpxn,Trappc6b,Rap2b,B3gnt2,Cdc40,Nbr1,Ptges3,Pole4,
Dnajc15,Calm3,Atrx,Plat,Azi2,Lrrc8a,2310039H08Rik,Hnrnph2,Clpp,Bach1,Dcun1d5,Myh14,Agap1,Ppdpf,
Aph1b,Suclg1,Usp34,Rhoc,Smg1,Cxxc5,Srsf9,Gcc2,Bicd1,Cyth4,Ssu72,Ubqln2,Tsn,Ndufs6,
Hmgn5,Gm16286,Prrc2b,Tcf12,Prpf40a,Spty2d1,Snrpd2,Stx4a,Kmt2a,Cited2,4930453N24Rik,Arl6ip1,Adora1,4833420G17Rik,
Pcgf5,Nucks1,Pcbp2,Clptm1l,Snap23,Eef1b2,Mapk1ip1l,Spen,Rasa1,Midn,Ddx5,Mrps33,Azi2,Hist1h1c,
Rdm1,Ola1,Selenok,Ubr3,Safb,Nop14,Nsmaf,Abl1,Ccdc174,Gpx1,Siah2,Slc5a3,Zranb1,Syf2,
Aldh7a1,Kdm7a,Diaph1,Snx2,Sf3b6,Adam15,Psma5,Cdc73,Smarca4,Mylip,Rtf1,Adk,N4bp2l2,Ube2b,
Kifap3,Cwc15,Klf10,Aurkaip1,Nop53,Ppp4r1,Irf2,Rbbp4,Klhl12,Slc15a3,Eif3d,Akr7a5,Ube2e3,Ap3s1,
Cavin3,Necap2,Leprot,Rps16,Rbx1,Coq10b,CAAA01118383.1,Anp32e,Arhgap35,Akap13,Suz12,Emc8,Syncrip,Rnf187,
Dtx3,Lsm8,Zmynd11,Ctdsp2,Ctdnep1,Rragc,Alkbh1,Psmb7,Pgrmc1,Prnp,Kansl1,Fbxo32,Diablo,Ptbp1,
Izumo4,Ppp1r14b,Nenf,Ilrun,Stard3nl,Rtcb,Snhg8,Polr2m,Atf2,Celf2,Ilkap,Gpt,Zc3h14,Agfg1,
S100a10,Abcf1,Plekhf2,Rps4x,Nop10,Sppl2a,Spop,Rsf1,Ywhah,Zfp281,Sos2,Dipk2a,Dld,Ppp2r5a,
Dnal4,Ssbp1,Klhl2,Crebbp,Eloc,Hnrnpa0,Pts,Taok1,Lmbr1l,Stk38,Rnf4,Slk,Tuba1b,Bscl2,
Ccdc138,Atp5k,Ndufaf7,Dcun1d5,Elob,Nipa2,Ostc,Ncl,Pam16,Mpeg1,Ndufb5,Rsrc1,Atp5a1,Usp38,
Ncs1,G3bp1,Vps13a,Slc6a6,Zfp207,Rbbp8,Mbd2,Tpm4,2410006H16Rik,Pfkfb3,Txn2,Lrrc28,Srrm2,Mta3,
Cplane1,11-Sep,Higd2a,Sf3b6,Psmd11,Kpna4,Plekhm3,Sf3b3,Cby1,Socs3,Pqbp1,2700046A07Rik,Birc2,Chmp1a,
Syne2,Slc25a11,Gsk3b,Gpbp1l1,Psma3,Zrsr2,Ndufc1,Ufl1,Ppa1,Hmgcr,Nucb1,Ttll5,Puf60,Gtf2b,
Arglu1,Trim26,Txndc12,Ndufb2,Tet3,Akt1,Baz2b,Mindy2,Cdkn2aip,Dleu2,Psmb3,Nkain1,Drap1,Cenpx,
Stox2,Gripap1,Arf1,Btbd7,H2afj,Hist1h4d,Cdk2ap1,Ptpmt1,Tubgcp2,Slc16a6,Fam53b,Abhd4,Sdf4,Arpc5,
Wdr73,Actr2,Sar1a,Cbx3,Man2b1,Rassf4,Ost4,Birc2,Trir,Tgfbi,Luc7l2,Fam177a,Smndc1,Plekhj1,
Fam92a,Ccdc174,Ccnd3,Dyrk1a,Ankrd17,Lncpint,Mri1,Atp13a3,Zfp532,Tmod3,Gnai3,Tob1,Idh3b,Nfkb1,
Arhgap18,Atp5b,Rab6a,Ranbp9,Taok3,Sptlc2,Chd3,Zbtb7a,Lima1,Hcst,Rock1,Mmgt1,Mrpl41,Relch,
Arhgap21,Tomm6,Gnai3,Atp2b1,Ubl5,Atp6v0e,Mea1,Cul5,Ttc4,Ralb,Casp8ap2,Acox1,Ppp4r2,Mpc2,
Hmgcr,Prpf4b,Pfdn1,Rnf10,Sdhd,Actb,Akna,Serinc1,Klhl24,Id2,Galnt11,Slc8a1,Ube2e1,Smdt1,
Ldhb,Taok3,Ppp1r9b,Pros1,Brd7,Tor2a,Me2,Sec62,Inpp5f,Flna,Romo1,Ubr2,Psma2,Dynlrb1,
Gnao1,Commd4,Sos2,Adgrf5,Tcirg1,Ep300,Gadd45b,Tmem87b,Hikeshi,Lgals3,Mrpl32,Abi2,Supt16,Atf1,
Tceal1,Eif2s2,H2-T23,Sik1,Gng2,Fubp1,Ndel1,Usp2,Ttyh3,Sertad1,Cab39,Snx24,Gpatch8,Pkn1,
Clmn,Bbx,N4bp1,Ckap4,Gorasp2,Lemd2,Fabp5,mt-Atp8,Micu3,Apbb1ip,Ogfr,Ptch1,Sec63,Rnf19a,
Vegfa,Fbxw2,Tcf12,Ap2s1,Gps2,Luc7l2,M6pr,Chmp3,Mzt1,Gng12,Zcchc9,Tpst1,Fam91a1,Ola1,
Slc25a33,U2af2,Ptprk,Capzb,Hprt,Eif3j1,Cdk5rap3,Susd6,Tspyl1,Wdr1,Gmps,Mrpl41,Dynll1,Atp5g1,
Tmco1,Ilf2,Med13l,Cds2,Tpi1,Trafd1,Llph,Pdap1,Gle1,Rgs1,Cdkn1b,Med30,Rap2b,Ddx46,
Fbxw9,Ptk2b,Lrch3,Atxn2,Trappc3,Smox,Nol7,Golgb1,Cox6b1,Msl1,Dda1,Zfp532,Msl1,Trim30a,
S100a6,Tubb5,Ptp4a2,Rab12,Oser1,Rpl22l1,Ebp,Snrnp27,Hp1bp3,Zfp36l2,Sar1a,Stard13,Ube2k,Sesn3,
Rnd3,Ndufs6,Khdc4,Banf1,Phb2,Evi2a,Magohb,Erf,Fbxo21,Abracl,Frg1,Taf1,Pdia4,Lsm6,
Tmem246,Rbm6,Slain2,Sparcl1,Nrbf2,Evl,Rap2b,Gorasp2,Caprin1,Zc3hav1,Cox16,Mcam,Tpd52l2,Tmem123,
Cds1,Cebpz,Bag1,Stat3,Chchd1,Ddost,Mvb12a,Wdr1,Bcl9,Cmtm6,Ndel1,Rabgap1l,Sf3b6,Tpr,
Pfkp,Psmd14,Jmjd6,Ndufc1,Ndufc1,H2-M3,Tmod3,Bcl7b,Rpl27,St3gal6,Stim1,Nacad,Unc50,Polr2m,
Crip1,Ssu72,Bnip3l,Xbp1,Gusb,Rnf215,Banf1,Zzz3,Zbtb18,Cnn2,Nol7,Trpc1,Tial1,Psma7,
Ttc3,Pan3,Smurf2,Magoh,Bbx,Cln3,Nop10,Stau1,Taf15,Ccnl1,Mrps16,Mrpl53,Arl6ip1,Fgfr1op2,
Sirt3,Sri,Pdcd10,S100a1,Manf,Dnmt3a,Ncoa7,Ilrun,Cited2,Junb,Hnrnpul2,Plagl1,Aurkaip1,Raly,
Hopx,Brd4,Tmem109,Psmd2,Arf4,Chic2,Tmem167,Kdelr2,Sae1,Rgs2,Wdr83os,Auh,Atp5mpl,Pop5,
Xpc,Zcchc9,Mia3,Tnfrsf1a,Mapk6,Atp13a2,Ifnar1,Ube3a,Ccdc28b,Dock2,Tbrg1,Hspa2,Psmb3,Eif4e2,
Slc6a1,Slc4a7,Hmgb1,Ube2n,Rpn1,Cadm1,Aimp1,Leng8,Trmt10c,Tm6sf1,Bex3,Atg4c,Lifr,Rilpl2,
Eea1,Arl6ip4,Fdx1,Ptms,Nras,U2af2,Ndufa3,Arid5a,Timm21,Rel,Bax,Kifap3,Sp3,Rbpj,
Acaa2,Mrpl12,Phactr4,Cox6a1,Atp5a1,Bach1,Eif3g,Impad1,Idh2,Gm42418,Gls,Atad1,Ndufb6,Pofut2,
Ifitm3,Sarnp,Ap1s2,Rras,Gatad2a,Tnfaip8,Parp1,Lman1,Grcc10,Cpd,Mob1a,Prrt1,Anapc11,Dnajc1,
Zfp704,Nfu1,Sema6a,Rpl8,Ogfrl1,Ppp1r9a,Irf9,Usp8,Rnf41,Rnf19b,N4bp2l2,Megf9,Nebl,Erh,
Kcnj10,Dad1,Ctnnbip1,Ppm1g,Sf3b5,Tbk1,Rbck1,Irf1,Gzf1,Limd2,Ube2g2,Zdhhc14,Yeats4,Pcgf5,
Creg2,Snrnp200,Jup,Rab6a,Psma6,Larp1,Ndufb10,Trappc3,Hnrnpll,Ifi27l2a,Rnf187,Ccdc13,Laptm4a,Ufc1,
Dad1,Ubr4,Dusp11,Aprt,Hk2,Lap3,Tnfrsf1b,Supt16,Zfp580,Ogfrl1,Crebbp,Plpp3,Cic,Efr3a,
Arvcf,Nsrp1,Snrpb,Cnpy2,Tigd2,Tug1,Psmd14,Wdfy3,Atp5g3,Rab24,Bola2,Hdgfl3,Swi5,Bcl7c,
Zic2,Larp1,Nav2,Tet2,Rybp,Derl1,Actr2,Sdc4,Cttn,Cd63,Hadhb,Mpst,Tubb2a,Lgals3bp,
Paip2,Tbca,Nucb1,Nudt21,Tapbp,Abcg1,Crtc3,Rc3h1,Chchd1,Klhl2,Mat2b,Tmem9b,Zfp266,Csk,
Evi5,Sf1,Adam10,Ndufa3,Mydgf,Chd1,Arl6ip4,Gnl2,Lcmt1,Ucp2,Snu13,Ada,Anp32a,Hint3,
mt-Nd2,Ndufb2,H1f0,Tgfbi,Atf6,Kdm2b,Necap2,Ube2e3,Rsbn1,Dusp5,Mrpl24,Fam107a,Ppt1,Nup50,
Plpp1,Puf60,Tpd52l2,Zmynd11,Hspa5,Eif4e2,Hivep1,Mphosph8,Cbr1,Efhd2,Cox14,Tmcc3,Ddah2,Ndufa8,
Mdh1,Chd2,Ndufa6,Vdac3,Eif6,Lman1,Ndufb11,Syne1,Dgcr6,Nr4a1,Psma3,Rrm2b,Thra,Pgk1,
Fbxo44,Eif3d,Eif4g1,Rbbp6,Pcna,Ppp4c,Il21r,Sptan1,Rnf11,Tcn2,Lbh,Cltb,Vma21,Dpm1,
Slc9a3r1,Capg,Rheb,Ndufb1-ps,Lamp2,Stx7,Ddt,Trim28,Sh2d3c,Marcks,Eif4a3,Armc1,Atp13a3,Ppp6r1,
mt-Co1,Dnajb6,Irf9,Znrd1,Tram1,Ubn1,Stk40,Uqcr10,Pdcl3,Pbxip1,Smad7,Pink1,Tmem59,Hnrnpa3,
Prr7,Ube2q1,Nt5c2,Tomm5,Rbm7,Nav2,Slc25a11,Prkacb,Ubald2,Clic1,Tmem128,Fat1,Limd1,Romo1,
Smo,Iscu,Pitpnb,Vkorc1,Klf3,Ddx18,Bscl2,Mid1ip1,Pcm1,Dusp6,Tmem258,Slc25a23,Ppp1r21,Cnbp,
2-Mar,Rbm5,Tap2,Pnn,Sumo3,Abi1,Tmem131l,Ensa,Epc2,Zfp36,Crim1,Churc1,Smc3,Tbl1xr1,
Actn1,Sltm,Coq10b,Fam91a1,Mrpl30,Prag1,Cmpk1,Nr1h2,Snrpd3,Syne1,Cul3,Ntmt1,Smad4,Cd2bp2,
Tspan33,Papola,Kbtbd2,Xrn1,Chmp3,Fnip2,Magoh,Appl1,Top1,Cd9,Pdcd5,Trappc13,Smim7,Wipf1,
Cdk5rap2,Suds3,Arf5,Ylpm1,Polr2i,Rnf216,Gatd1,Ifi27,Hnrnpa3,Entpd1,Slc25a36,Rab39b,Pdha1,Cap1,
Zfp219,Cdc42se2,Ndfip1,Supt16,Neat1,Pten,Cux1,Swt1,Pafah1b2,Igf1r,Pdcl3,Piga,Gapvd1,Ncor1,
Lrwd1,Hpf1,Cpd,Rpl23,Ube2n,BC005537,Tomm22,Fam168b,Mien1,Dusp1,Drap1,Mcee,Spop,3830406C13Rik,
Mfsd2a,Pds5a,Git2,Timm17a,Dgkz,Clint1,Tbc1d1,Cetn3,Atp5c1,Sgms1,Dctn6,Hdgfl2,Csnk1g3,Washc3,
Pabpn1,Leng8,Mtmr6,Uqcc2,Fam174a,Slc31a1,Ehbp1l1,Copb2,Polr2k,Cd37,Glud1,Ndufb2,Romo1,Rabac1,
Cntln,Chd6,Itprid2,Srp19,Tlk1,Akap8l,Nsf,Peak1,Nfyb,Vps37b,Snrpa1,Hacd1,Bod1,Ube2a,
Sf3b2,Rtf1,Nr1h2,Dynll1,Il17ra,Snx24,Fcf1,Smc3,Mrpl50,Sirpa,Tmem248,Tmem205,Riok3,Mrpl4,
Cnpy2,Ifi30,Zbtb16,C1d,Mef2d,Ythdf2,Gfpt1,Slc9a3r1,Sgta,Ier5,Ing1,Abl1,Cdv3,Ptpn2,
Crtc3,Oser1,Arf6,Adnp,Snrpf,Map3k1,Crem,Tsc22d2,Cstf3,Cebpd,Rbm39,Pde4dip,Ufc1,Lin54,
Ndufaf8,Pik3ip1,Tm9sf2,Uba52,Etv6,Hnrnpf,Bax,Psmd2,Heatr6,Laptm5,Nipa2,Ctnnal1,Prpsap1,Top2b,
Lgals3,Phf3,Dync1h1,Rbm33,Uqcrfs1,Caprin1,Tmem256,Ndufv1,Msh2,H2-K1,Psmd9,Stim1,Arpc5,Fam204a,
Hist1h2bc,Bola2,Ccni,Tmed3,Ndufv3,Zbtb11,Lsm6,Ppp4r3b,Tspan7,Fcgr3,Cd82,Gnl3l,Klc1,Becn1,
Ston2,Cct7,Slc31a2,Rps21,Hck,P4hb,Lyar,Dctn1,0610012G03Rik,Kctd12,Dek,Tmem98,Vps36,Mvb12a,
mt-Co3,Eif4e2,Lyar,Tpi1,Cebpg,Dhx15,Snf8,Csnk1e,Rbmx2,Vsir,Ndufs6,Sympk,Rere,Ndufb6,
Tmem237,Pnrc1,Trib1,Csnk1g2,Ube2j2,Gpr146,Ndufs8,Specc1,Ddx42,,Ndufa9,Il18,Rsbn1,Mrpl21,
Smad5,Pnisr,Rapgef6,Atf4,Sap18,Rock2,Eif4b,Sort1,Klf11,,Ifi35,Adam22,Egln1,Lrrc8c,
Megf9,Clk4,Pbrm1,Ube2g1,Raly,Ddx3y,Nptn,Nrip1,Ppp2r3c,,Nub1,Unc50,Uqcc2,Pcsk7,
Ogt,Rtcb,Map3k1,Cnih4,Wipf1,Mgat5,Selenoh,Med31,Ythdf2,,Reep5,Plekhg1,Pkn2,Frg1,
Tomm7,Crebbp,Spin1,Ramac,Usp25,Rhoa,Tbca,Rab6a,Srsf7,,5031425E22Rik,Gatad1,Cdc26,4921524J17Rik,
Nfix,Tmem234,Scamp1,Susd6,Bcl2a1b,Zfp62,Ptrhd1,Pom121,Phf21a,,Kin,Rusc2,Jam3,Zup1,
Plp2,Rnf4,Mt1,Rnf11,Cdk2ap2,Ulk2,N4bp2l1,Samd8,Xrn2,,Atp5f1,Clstn1,Higd2a,Snrpc,
Cep162,Hint1,Tecpr1,Vapb,Ncoa3,Selenos,Cdk14,Pdgfa,Mob3b,,Lyst,5730455P16Rik,Trafd1,Hypk,
1810037I17Rik,Ndufb3,Ing1,Acp1,Slc7a8,Soga1,Pole4,Rbm27,Zfp553,,Dnaja2,Emc1,Sec31a,Ss18,
Cadm2,Hnrnph2,Tnfrsf1a,Ube2r2,Lgals8,Tbc1d14,Acadm,Stk24,Fam126a,,1810026B05Rik,Slc16a1,Zfp131,9930111J21Rik2,
Srsf1,Ufm1,Oga,Klf3,Hnrnpd,Mgat2,Slc4a7,Psmc1,Metap2,,Copb2,Ncdn,mt-Co1,Ric1,
Ccdc107,Gps2,Rcn2,Ppp5c,Erh,Capza1,Timm10b,Ndufb3,Gabbr1,,Usp25,Polr2f,Ssr2,Plcg1,
9530077C05Rik,Baz1b,Polr2c,Ddx1,Nampt,Mrps18b,Smchd1,Dnaja1,Snhg6,,Mvb12a,Gnptg,Lcorl,Aup1,
Gaa,Mrpl52,Rab28,Ilf2,Ppp4r3b,Slc12a6,Trim12a,Cox7a2,Mplkip,,Cyld,Mfn1,Rpl7l1,Tomm6,
Kifc3,Psmb4,Psma7,Ensa,Sbno2,Rlf,Slc25a3,Clk1,Dusp10,,Fryl,Tmed4,Commd3,Ier3ip1,
Cdc42ep4,Pnpla8,Ywhab,mt-Co1,Sptlc2,Hnrnph1,Sin3b,Pgk1,Wbp1,,Rcsd1,Prxl2a,Fam168a,Gabpb2,
Cox8a,Tmem128,Tprgl,Nrbp1,Lsm4,Srsf5,Myo9b,Pik3c2a,Tcf12,,Cox17,Tmem223,Cox6c,Usp48,
2310039H08Rik,Hdac1,Crlf2,Eif3e,Mrpl42,Hnrnpk,Aup1,Zc3h18,Ctcf,,C1d,Tmem147,Sbf2,Saraf,
Thap3,Mtf2,Mob2,Lamtor5,Lnpep,Ykt6,Naa10,Ubr3,Rab34,,Scfd1,Sh3glb2,Pdia6,Mrps14,
Arl13b,Nsmce1,Mapre1,Ssrp1,Mrpl11,Gaa,Ywhah,Mpc2,Srpk2,,Kras,Fam214a,Zfand3,Bcas2,
Atpif1,Tubb4b,Stk25,Mrpl51,Tet2,Wdr45b,Gm26917,Cnih4,Tra2b,,Stag1,Cpeb2,Ube2l3,Ubb,
Ppdpf,Zcrb1,Itsn2,Tlk1,Mybbp1a,Gtpbp4,Sf3b6,Acp1,Alg2,,BC005624,4833439L19Rik,Mxi1,Actr2,
Acot13,Pdhb,Naa38,Rpl22,Prr13,Rap2a,Micos13,Ankrd12,Ift46,,Znrd1,Synj2,Emc6,Pigx,
Cacna1d,Ogt,Smim11,Tmf1,Gtf2f1,Mapk14,Fgfr1op2,Sec61a1,Hnrnpdl,,Scand1,Gss,Slc12a6,Oip5os1,
Mmut,Romo1,Hras,Chmp2b,Tab2,Tram1,Rab1b,Smg6,Wdr83,,Arpc4,Epdr1,Ppp3r1,Csnk1g2,
mt-Atp6,Pou2f2,Sppl2a,Cnn3,Nfkbiz,Slc49a4,Lmo4,Cyhr1,Nt5c3b,,Rbm22,Mtf1,Tmem30a,Cyb5r4,
Abcd3,Pbrm1,Nfic,Ak2,Ube2j1,Gspt1,Tet2,Mtpn,Apbb1,,Prrc2b,Hmgn3,1500011B03Rik,Tmem50a,
Slc22a17,Tlk1,Pfdn5,Stk24,Lsm12,Sh3glb1,Wdr83os,Acat1,Pdcd4,,Pdha1,Enah,Snrnp27,Ndufa11,
Phyh,Usp3,Gatad1,Aph1a,Chmp1a,Ddx54,Zbtb8os,Etfb,Oip5os1,,Uqcc3,Atp5h,Ociad1,Psmd4,
Dnajc6,Polr2k,Smad4,Impdh2,Cdk13,Pan3,Fuca1,Ergic2,Tsr3,,Stx8,Hsd17b4,Psmd14,Psma3,
Lgalsl,Nsd3,Rpl31,Tcerg1,Eif4g3,Hacd2,Mrpl55,Nucb1,Zfp398,,Ppp6r1,Ube2g1,Tm9sf2,Rbis,
H2afv,Sh3kbp1,Tpd52,Rpl12,Eef2,Mlec,Bach1,Csrp1,Mrpl49,,Vars,Zeb2,Nfat5,Lsm8,
Nbl1,Cpsf7,4833439L19Rik,Maco1,Iscu,Trim27,Stk19,Per1,Tdp2,,Hnrnpa1,Fubp3,Atp5g2,1700123O20Rik,
Ndufc1,Ten1,S100a1,Med10,Eif2s1,Gnai2,Atp13a3,Celf1,Snrpa,,Dgkz,Ston2,Eif3j1,Slc4a7,
Pitpnm1,Plgrkt,Rb1cc1,Brwd1,Larp4b,Etv3,Cep350,Nus1,Sec61g,,Raly,Nkd1,Dcun1d5,Kmt2a,
Slc35a2,Arhgap25,Sh2b3,Eif4e,Banf1,Slc35b2,Micos10,Zfp871,Srsf11,,Dhx9,AW549877,Hnrnph2,Eny2,
Ndufaf3,Rbmxl1,Hook3,Ccdc124,Galnt1,Tent2,Timm23,Rnf11,Atp5j2,,Ola1,Stard3nl,Msmo1,Spcs2,
Asap2,Elavl1,Csnk1a1,Arl2bp,Sarnp,Gbp7,Vrk3,Pkm,Elob,,Prkx,Timm8b,Slc25a11,Cops9,
Prrt1,Polr2a,Tnrc6c,Stx12,Mia2,Furin,Lncpint,Idh3b,Txnl4a,,Rbm17,Scrn1,Tra2a,Nrbp1,
2900026A02Rik,Ddx21,Pdcd4,Rps26,Tomm5,Epn1,Smdt1,Ubtf,Xpo1,,Psma1,Ddhd1,Hmgb1,0610012G03Rik,
Naf1,Mrps33,Uqcrh,Ube2f,Dpm1,Exosc8,Gas5,Hdlbp,0610010F05Rik,,Ccndbp1,Tmem14a,Atf7ip,Snu13,
Hes1,Ypel5,Zbtb38,Yme1l1,Ago2,Gnas,Ogfr,Gabarapl1,Snrpb2,,Arpc5,Arhgap39,Tnrc6b,Acbd6,
Atxn1,Ccdc12,Rap1b,Gabarapl1,Slc25a5,Ppp1r12c,BC005624,Atp2c1,Psmg4,,Rassf5,Tpgs1,Stag2,Tmem14c,
Nck2,Lamtor5,Txn2,mt-Atp6,Azin1,Psen1,Slirp,Sirt1,Atp5a1,,Snrpc,Pkp4,Pgam1,Grpel1,
Ankrd54,Rtf2,Akap13,Eci2,Trappc2l,Hsp90ab1,Iscu,Gadd45gip1,Dcakd,,Eif3g,Fhl1,Tm9sf3,Crlf3,
Grina,Ndufc1,Tlk1,Cd47,Wbp11,Qrich1,Lrp10,Rfc1,Acd,,Sra1,Haghl,Atg3,Ppm1g,
Npdc1,Gpsm3,Klc1,Nptn,Camk2d,Kdm7a,Ptpn2,Zbtb20,Phpt1,,Nptn,Rufy2,Med13l,Rnf114,
Tchp,Lsm14a,Ubl3,Dazap1,Kras,Lman2,Ncf4,Dlst,Sipa1l1,,Actr2,Lrrc1,Mrps24,Pin4,
Ccng1,Ppp6c,Lgals9,Tspan31,Usp19,Gng5,Psmd8,Appbp2,Ptpn4,,Cyth2,Zer1,Zfp280d,Txn2,
Clstn1,Mif,Crebbp,Phlda1,Atpif1,1110038B12Rik,Babam1,Mecp2,Osbpl8,,Ube2j1,Abhd5,Vdac3,Snhg1,
Rbpms,Cdc42se1,Bola3,Rere,Nmt1,Ube2g2,Atp5mpl,Baz1b,Arl4c,,Ebp,Cdk5rap2,Fyttd1,Guk1,
Creld2,Hnrnpr,Rnpepl1,Ubr4,Ssbp4,Cebpg,Sap18,Pcif1,Egr1,,Cr1l,Rab3a,Csde1,Zbtb1,
Emp1,Ccdc59,Cdk19,Fbxo11,Nfkbia,Gdi2,Dcaf12,Atad1,D10Wsu102e,,Ghitm,Pacsin3,Camk2n1,Idh3b,
Fsd1l,Ppp4c,Rit1,Lncpint,Ppp6r3,2510039O18Rik,Nono,Dph3,Nap1l4,,Tacc1,Stam,Epas1,Irf9,
Synm,Asxl2,Mtpn,Fndc3a,Sdhc,Pepd,Casp3,Mtus1,Hdac3,,Cggbp1,Itgav,Wac,Zfp706,
Adgrl3,Slc25a51,Eci2,Anapc13,Chd7,Stk40,Pak1ip1,Cdk2ap1,Sf3b2,,Cmas,mt-Nd2,Psmd13,Esco1,
Mpp1,Thoc1,Mllt10,Tmco1,Exoc5,Slc25a3,Eno1,Btg3,Bclaf1,,Rab8b,Zrsr1,Gps1,Denr,
Rnpc3,Eapp,Elf2,Emp3,P2ry6,Vdac2,Pofut2,Fmr1,Nsa2,,Yrdc,Agtpbp1,Pdhb,Khdrbs1,
Cfap410,Vamp8,Samhd1,Osbpl9,Hspa8,Erf,Fbxo11,Cop1,Rtn3,,Etfb,4931406P16Rik,Cct3,Yeats4,
Tef,Gnl3,Ctbp2,Ago2,Hdgf,Ube2j1,Atp11b,Zfp36l1,Rrm1,,Ostc,Hebp1,Prpf8,Wbp1,
Pkd2,Ube2d2a,Wasl,Wwc2,Arpp19,Srsf11,Rpl7l1,Hmgb1,Dnmt1,,Erp44,Stimate,Calr,Rps6ka1,
Thyn1,Capza1,Atg12,Rhoj,Clock,Mta2,Samd4b,Serinc3,Clcn3,,Vti1b,Vps4a,Kif1a,2810013P06Rik,
Ssbp2,Riok1,Cnih4,Dynlt3,Cox16,Tomm40,Cox6b1,Dusp3,Cnpy2,,Dazap1,Inpp5a,Eif2a,Mrps21,
Ikbip,Crebrf,Bst2,Gorasp2,Rabep1,Pbxip1,Snrpa1,Ccdc50,Dennd2a,,Hprt,Gstm1,Mrto4,Xrn2,
Pnpo,Thoc7,Max,Chic2,Rnf111,Atg5,Myo1c,Bag6,Ap2m1,,Ssr4,Llgl1,Sh3bgrl,Wdr33,
Itih5,Brd8,Dnajc1,Strn3,Rin2,Wdr43,Rer1,Arfgef1,Thoc1,,Sec31a,Commd6,Rnf14,Sae1,
Ndufc2,Nemf,Exoc6b,Ndufs4,Rbm17,Ythdf3,Aurkaip1,Iws1,Uqcrfs1,,Dnajc1,Tex2,Ndfip2,Uimc1,
Mfn1,1700017B05Rik,Cdk11b,Actb,Cox17,Utp18,Krtcap2,Mfsd14a,Stk25,,Lmna,Vta1,Gm13889,Phb2,
Eef2kmt,Baz2b,Jund,Dock9,Tpp1,Ifi35,Uqcc2,Cpsf7,Pogz,,Ep400,Tcaf1,Nsd1,Ift20,
Tmem132b,Zfand6,Eif4ebp1,Cnot6,Lmnb1,Rnh1,Zmat2,Kdm1a,Klhl9,,Hspe1,Gpt2,Yme1l1,Scp2,
