Astrocyte,B cells,Endothelial cells,Fibroblasts,Macrophage,Microglia,Monocyte DC,Mural cells,Neuron,Neutrophil,NK,Oligodendrocytes,OPC,T cells,Naive T cells
Tubb4b,Fau,Abcg2,Ogn,Ftl1,Laptm5,Klrk1,Cox4i2,Bcl11a,Klhl6,Rpl27,Ank3,Shc4,Rps13,Rpl27a
Apoe,Rps4x,Fn1,Ildr2,Cd44,Kctd12,Atox1,Higd1b,Tmsb10,Lrg1,Ifngr1,Opalin,Tafa1,Rpl32,Rpl36a
Prdx6,Rpl26,Ccn1,Rac1,Ctsc,Grn,Flt3,Perp,6330403K07Rik,Tnf,Gzmb,Gsn,Vxn,Rps24,Rpl3
1110017D15Rik,Siglecg,Tinagl1,Fn1,Msr1,Tgfbr1,Rpl32,Dmd,Nfix,Msrb1,H2-K1,Abca2,Nlgn3,Skap1,Rps6
Cfap54,Rpl34,Net1,Ppp1r2,Gda,Crybb1,Rps7,Crim1,Foxg1,Csf1,Stat4,Efnb3,Nlgn1,Rpsa,Rps28
Ndrg2,Rpl7,Wfdc1,Cfh,Pid1,Rgs1,Rpl35,Arhgef17,Nrep,Ptafr,Rps15a,Htra1,Chl1,Rpl13a,Rpl13a
Calml4,Rpl35a,Cyyr1,Pgrmc1,Emp3,Lair1,Gpr171,Col4a1,Jpt1,Anxa1,Rps16,Gpr37,Stk32a,H2-K1,Rpl34
Pla2g7,Rpl27a,Cd93,Igfbp3,Alox5ap,Cd68,Rack1,Slc38a11,Hist3h2ba,Cxcr4,Rps23,Cntn2,Tspan3,Rpl12,Rps26
Mt1,Rpl9,Ahnak,Tgfbr3,Lilr4b,Cd86,Fxyd5,Mgp,Hist1h2ap,Lyst,Gimap5,Ugt8a,Gpr37l1,Il7r,Rpl37a
Ramp1,Rpl18,Slc6a6,Ldha,Cd38,Fcer1g,Rpl36,Bgn,Nsg2,Ets2,Hcst,Rcan2,Gria4,Fxyd5,Gm8369
Scg3,Rps9,Kitl,Serpinb6a,Srgn,C3ar1,Rpl34,Drap1,Ptprs,Thbs1,Rps11,Ppp1r16b,Epha5,Rps18,Rpl35
Riiad1,Cd19,Arl4a,Gm12840,Cyba,Btg2,Traf1,Art3,Gria2,Igsf6,Rpl32,Map7,Dner,Rpl39,Tmsb10
Aebp1,Foxp1,Hspb1,Lbp,Rab7b,Nfkbiz,Rps24,Heyl,Dclk1,Rnf149,Rpl37a,App,Sdc3,Rps11,Gimap6
Ntsr2,Rps3,Sema3c,Tpm1,Pim1,Ptgs1,Ifitm3,Bcr,Pbx3,Gsr,Rps10,Tmem88b,Dscam,Dusp2,Rpl26
Lbp,Rpl27,Igf1r,Perp,Iqgap1,Golm1,Ccl22,Il34,Elavl4,Fxyd5,Ptpn22,Hapln2,Mmp16,Sh2d2a,Rpl11
Ezr,Ptprcap,Rasip1,Vim,Ccr1,Rnase4,Lgals3,Gja4,Gm3764,Il1rn,H2-D1,Polr3e,S100a16,Gimap4,Rpl15
Cfap126,Rpl11,Paqr5,Spp1,Tyrobp,Ctsb,Kmo,Atp2a2,H1fx,Ccl6,Rps3a1,Pcdh9,Plce1,Itk,Trbc2
1700012B09Rik,Rpl23,Slc9a3r2,Plpp3,Cfp,Egr1,Rpl18,Crispld2,Islr2,Lcp1,Gm19585,Epb41l3,Susd5,Rps27,Rpl7
Anxa5,Rpl35,Cdc42ep3,Smim14,Prdx5,Pou2f2,Fau,Gjc1,Hmgb3,Samsn1,Rps3,Cmtm5,Nav1,Rps7,Txk
Tmem107,Rpl12,Nostrin,Slc38a2,Clec4d,Pld4,Tmsb4x,Sod3,Gm4258,Clec5a,Runx3,Gstp1,Col16a1,Rpl18,Rpl10a
Nudt4,H3f3a,Vwa1,Foxc1,Npc2,Il1a,Rps26,Dag1,Atp1b1,Grina,Rpl9,Nkx6-2,Zdhhc2,Rpl37a,Il7r
Slc6a11,Cd72,Sema7a,Igfbp7,Clec4n,Mertk,S100a11,S1pr3,Mex3a,Prdx5,Rps13,Serpina3n,Brinp3,Rpl19,Cd3d
Gm14964,Rpl37a,Rgs12,Id3,Pirb,Rhob,Rps4x,Slc19a1,Dbn1,Gda,1-Sep,Tppp3,Fyn,Rpl17,Eef1b2
Gpm6a,Rpl10a,Cavin2,Rpap3,Mdfic,Runx1,Rpl19,Ebf1,Gng3,Dmxl2,Rps14,Nfasc,Adgrl3,Rpl36,Rpl6
Enkur,Rps11,Itga1,Anxa2,Pkm,Gem,Bcl2a1d,Ctdspl,Gm17750,Syk,Rpl23,Mapt,Plppr5,Rpl18a,Rpl27
Fgfr3,Rps14,Ltbp4,Tpm4,Esd,Cd14,Rps14,Ntn4,Atpif1,Csf3r,Rpl36,Gjc3,Armh4,Lck,Rpl5
Bphl,Rps28,Podxl,Igfbp2,F10,Zfp36,Gpr132,Atp13a5,Soga3,Iqgap1,Rps18,Map1a,Rtn1,Klrd1,Rps9
Mt2,Cytip,Itih5,Hspb8,Ifi211,Ifrd1,Pim1,Kcnj8,Gad1,Pim1,Rps7,Psat1,Ugdh,Ptpn22,Rps2
Mlf1,H2-Aa,Bmpr2,Serpinh1,Sem1,Wsb1,Rpl35a,Mcam,Cdk5r1,Mcemp1,Bcl2,7-Sep,Xylt1,Rps16,Rpl38
Ascc1,Serp1,Gpcpd1,Itm2a,Rps28,Skil,Cxcl16,Utrn,Dlx2,Cd300lf,Ptpn18,Tnfaip6,Lrrtm3,Rpl34,Cd3g
Hspa2,Rps8,Hbegf,Laptm4a,Rps29,Slco2b1,Ccr2,Lamc1,Tox3,Bcl2l11,Rpl13,Slc44a1,Atp1a2,Arhgdib,Rpl22
Fxyd1,Rpl15,Jam2,Mt1,Gm6377,Lyn,Rps5,P2ry14,Adarb2,Ier3,Rpl38,Ank2,Npas3,1-Sep,Rpl14
Gm973,H2-DMb2,Emcn,Igfbp4,Clec4a1,Slc15a3,Rps27a,Rasd1,Sox1,Nlrp3,Fau,Rhou,Ntm,Rps10,Uba52
Cnn3,Rpl30,Acvrl1,Nid1,Clec4e,Epb41l2,Rpl14,Lpp,Khdrbs3,Ncf1,Ptprcap,Slc24a2,Asrgl1,Ms4a6b,Emb
Foxj1,Rpl36,Foxq1,Sh3pxd2a,B2m,Aif1,Rplp2,Aspn,Vcan,Sgms2,Rpl39,Cpox,Chadl,Rpl27a,Rpl37
Itm2c,Rack1,Ptprg,Calu,Ctss,Tyrobp,Rpl22,Lmod1,Rbfox2,Plek,Fam107b,Gnai1,Sulf2,Lsp1,Fau
Nkain4,Tnfrsf13c,Palmd,Slc7a2,Emilin2,P2ry13,Gpr141,Nid1,Nol4,Ehd1,Rpl18a,Tmem151a,Chpt1,Gimap3,Rpl28
Odf3b,Rpsa,Vwf,Aebp1,Man2a1,Ccnl1,Rps23,Wtip,Camta1,Fpr2,Tpt1,Aspa,Dbi,Rps5,Lef1
Cdhr4,H2-Ab1,Itga6,Emp1,Smpdl3a,Fyb,Rps10,Rgs7bp,Podxl2,Slfn4,Gimap6,Pllp,Ntrk3,Uba52,Gramd3
Ccdc34,Bach2,Utrn,Pttg1ip,Arpc2,Hexa,Rpl41,Mustn1,Robo2,F630028O10Rik,Tbx21,Cdc42bpa,Brinp1,Rplp0,Ets1
Zbtb20,Rps27a,Crip2,Zic1,Bst2,Klf2,Rps15a,Ednra,Ly6h,C5ar1,Gimap3,Shisa4,Csmd1,Il2rb,Ms4a4b
1700024G13Rik,Cd55,Plk2,Cavin1,Ecm1,Cyth4,Rps25,Cp,Serf1,Gadd45a,Cytip,Rnf13,Tenm1,Coro1a,Rps11
Fhad1,Arl5c,Acer2,Pcdh7,Tpt1,Entpd1,Rps12,Tns2,Hist3h2a,Slc16a3,S100a10,Sirt2,Slc1a2,Rpl38,Rpl29
Spef2,Rps29,Ppfibp1,Cd302,Ms4a4c,Lag3,Cfp,Fstl1,Rnd3,Tyrobp,Rpl8,Cdc37l1,Emid1,Rps14,Rpl41
Idh2,Rpl37,Rhoc,Nap1l1,Pitpna,Hspa5,Il1b,Sh3bgrl,Ddah2,Adam8,Rac2,Pdlim2,Dlgap1,Crip1,Rpl24
Hydin,Gm8369,Selenop,Myh9,S100a4,Itgam,Bhlhe40,Ptpn9,Myt1l,Mirt1,Rpl30,Myrf,Pcdh7,Rora,Trac
