,0
670,A930012O16Rik
671,Cytip
672,Acvr1c
673,Gm53240
674,Gm13571
675,Pla2r1
676,Tbr1
677,Slc4a10
678,Fap
679,Ifih1
680,Kcnh7
681,Gm13569
682,Slc38a11
683,Gm34833
684,Scn2a
685,Gm13629
686,Gm36231
687,Cers6
688,Nostrin
689,Abcb11
690,Dhrs9
691,Mettl5os
692,Erich2
693,Gad1
694,Dcaf17
695,Dlx1as
696,Dlx1
697,Itga6
698,Rapgef4
699,Rapgef4os2
700,Sp9
701,Gm13708
702,Chn1os3
703,Chn1
704,Gm13660
705,Pjvk
706,Ttn
707,Gm13938
708,Ccdc141
709,Zfp385b
710,Gm35748
711,Itga4
712,Neurod1
713,Pde1a
714,Frzb
715,Zfp804a
716,Itgav
717,Gm13684
718,Calcrl
719,Btbd18
720,Ypel4
721,Serping1
722,Smtnl1
723,Slc43a3
724,Prg3
725,P2rx3
726,Aplnr
727,Or5m3b
728,Or8u9
729,Ddb2
730,A330069E16Rik
731,F2
732,Creb3l1
733,Gm13780
734,Gm57461
735,Gm13791
736,Syt13
737,Accsl
738,Gm13889
739,Lrrc4c
740,Rag1
741,Ldlrad3
742,Fjx1
743,Pamr1
744,Slc1a2
745,Cd44
746,Ehf
747,A930006I01Rik
748,Abtb2
749,D430041D05Rik
750,Depdc7
751,Pax6
752,Mpped2
753,Bdnf
754,Bbox1
755,Fibin
756,Ano3
757,Or4k50-ps1
758,Gm57464
759,Ryr3
760,Grem1
761,Gm28494
762,Meis2
763,4930412B13Rik
764,Gm13986
765,Thbs1
766,Plcb2
767,Disp2
768,Gchfr
769,Rhov
770,Dll4
771,Itpka
772,Gm14978
773,Frmd5
774,Duox1
775,Slc28a2
776,Slc28a2b
777,AA467197
778,4930417H01Rik
779,Fam227b
780,Atp8b4
781,Slc27a2
782,Hdc
783,Dusp2
784,Astl
785,Mal
786,Gm14244
787,Acoxl
788,Morrbid
789,Gm14010
790,Gm29010
791,4933427J07Rik
792,A730036I17Rik
793,Ckap2l
794,Gm14023
795,Il1a
796,Il1b
797,Il1bos
798,F830045P16Rik
799,Pdyn
800,Tgm3
801,Oxt
802,Avp
803,Fastkd5
804,Hspa12b
805,Gm14285
806,Gm14280
807,Gm14095
808,Gpcpd1
809,AU019990
810,Shld1
811,Gm14097
812,Chgb
813,Lrrn4
814,Bmp2
815,Tmx4
816,Plcb1
817,4930545L23Rik
818,Plcb4
819,Snap25
820,Jag1
821,Gm14061
822,Sptlc3
823,Ism1
824,Macrod2
825,Flrt3
826,Slc24a3
827,Cfap61
828,6430503K07Rik
829,Thbd
830,Cd93
831,Gm14120
832,Cst3
833,Gm14133
834,Syndig1
835,Vsx1
836,Tmem74bos
837,Rspo4os
838,Srxn1
839,Nrsn2
840,6820408C15Rik
841,Rem1
842,Id1
843,Cox4i2
844,Hck
845,Bpifb5
846,Gm14216
847,Procr
848,Gdf5
849,Fer1l4
850,Spag4
851,Gm14252
852,Gm14169
853,Myl9
854,Samhd1
855,Mroh8
856,Ghrh
857,Nnat
858,Gm57477
859,Vstm2l
860,Tgm2
861,Gm20412
862,Lbp
863,Snhg11
864,Gm826
865,Ptprt
866,L3mbtl1
867,Mybl2
868,Ccn5
869,Rims4
870,Gm11455
871,Slpi
872,Sdc4
873,Wfdc2
874,Gm11457
875,Ube2c
876,Spata25
877,Pltp
878,Mmp9
879,Slc12a5
880,Cdh22
881,Eya2
882,Gm11465
883,5031425F14Rik
884,Zfas1
885,Gm11476
886,Gm31619
887,Gm14320
888,Cebpb
889,A530013C23Rik
890,1200007C13Rik
891,Ripor3
892,Gm14235
893,Tshz2
894,Gm17619
895,Bcas1
896,Gm14264
897,Dok5
898,Cbln4
899,Gm14273
900,Cass4
901,Gcnt7
902,Rbm38
903,Pmepa1os
904,Gm10714
905,Tubb1
906,Gm46781
907,Zfp831
908,Gm2004
909,Phactr3
910,Cdh26
911,Cdh4
912,Lama5
913,B230312C02Rik
914,Col9a3
915,Nkain4
916,9230112E08Rik
917,Kcnq2
918,Eef1a2
919,Srms
920,Stmn3
921,Prpf6
922,Samd10
923,Sox18
924,1110015O18Rik
925,Zfhx4
926,Pkia
927,Stmn2
928,Zfp704
929,Gm16337
930,Gm56771
931,Fabp5
932,Fabp4
933,Ralyl
934,Car1
935,Car3
936,Gm33819
937,Sirpb1a
938,Sirpb1b
939,Gm37468
940,Sirpb1c
941,Gm5150
942,Cyp7b1
943,Dnajc5b
944,Cp
945,Cpa3
946,Cpb1
947,Agtr1b
948,Gm43674
949,Gm43672
950,Naaladl2
951,Nlgn1
952,A830092H15Rik
953,Gm56777
954,Tmem212
955,Tnik
956,Egfem1
957,Mannr
958,Mecom
959,Gm37592
960,Pex5l
961,Gm43140
962,Sox2ot
963,Gm38505
964,Trpc3
965,Gm36823
966,1700017G19Rik
967,Hspa4l
968,1700052H01Rik
969,Platr4
970,Gm31266
971,Slc7a11
972,Gm6209
973,Mgarp
974,Gm20089
975,Gm37202
976,Lhfp
977,Stoml3
978,Trpc4
979,Dclk1
980,Mab21l1
981,Tm4sf1
982,Gm56807
983,Wwtr1
984,Pfn2
985,4921539H07Rik
986,Med12l
987,P2ry14
988,P2ry13
989,ENSMUSG00000121389
990,P2ry1
991,9330121J05Rik
992,Arhgef26
